Peso,IVSd_Min,IVSd_Max,LVIDd_Min,LVIDd_Max,LVPWd_Min,LVPWd_Max,IVSs_Min,IVSs_Max,LVIDs_Min,LVIDs_Max,LVPWs_Min,LVPWs_Max,FS_Min,FS_Max,EF_Min,EF_Max,LA_Min,LA_Max,Ao_Min,Ao_Max,LA_Ao_Min,LA_Ao_Max
1.5,2.3,4.0,9.5,15.0,2.2,3.8,3.5,6.7,4.2,9.6,3.6,6.5,28.0,62.0,72.0,85.0,5.8,10.2,5.5,8.8,0.85,1.4
2.0,2.5,4.3,10.2,16.0,2.4,4.1,3.7,7.2,4.6,10.5,3.9,7.1,28.0,62.0,72.0,85.0,6.3,11.2,6.0,9.5,0.85,1.4
2.5,2.6,4.5,10.9,17.0,2.5,4.4,3.9,7.6,4.8,11.2,4.1,7.5,28.0,62.0,72.0,85.0,6.8,12.0,6.3,10.1,0.86,1.5
3.0,2.7,4.7,11.4,17.8,2.6,4.5,4.1,7.9,5.1,11.7,4.3,7.9,28.0,62.0,72.0,85.0,7.2,12.7,6.7,10.7,0.86,1.5
3.5,2.8,4.9,11.9,18.5,2.7,4.7,4.2,8.2,5.3,12.2,4.5,8.2,28.0,62.0,72.0,85.0,7.6,13.4,7.0,11.1,0.87,1.5
4.0,2.8,4.9,12.2,19.2,2.8,4.8,4.3,8.4,5.5,12.6,4.6,8.5,28.0,62.0,72.0,85.0,7.9,13.9,7.2,11.6,0.88,1.5
4.5,2.9,5.1,12.7,19.8,2.9,5.0,4.4,8.7,5.7,13.0,4.8,8.7,28.0,62.0,72.0,85.0,8.2,14.5,7.5,11.9,0.88,1.5
5.0,3.0,5.2,13.0,20.3,3.0,5.1,4.6,8.9,5.8,13.4,4.9,9.0,28.0,62.0,72.0,85.0,8.4,14.9,7.7,12.3,0.88,1.5
5.5,3.0,5.3,13.4,20.9,3.0,5.3,4.7,9.1,6.0,13.7,5.0,9.2,28.0,62.0,72.0,85.0,8.7,15.4,7.9,12.6,0.89,1.5
6.0,3.1,5.4,13.7,21.4,3.1,5.4,4.7,9.3,6.1,14.1,5.1,9.4,28.0,62.0,72.0,85.0,8.9,15.8,8.1,12.9,0.89,1.5
6.5,3.1,5.5,14.0,21.8,3.1,5.5,4.8,9.4,6.2,14.3,5.3,9.6,28.0,62.0,72.0,85.0,9.2,16.2,8.3,13.2,0.9,1.45
7.0,3.2,5.6,14.2,22.2,3.2,5.6,4.9,9.6,6.3,14.6,5.4,9.8,28.0,62.0,72.0,85.0,9.4,16.6,8.4,13.5,0.9,1.46
7.5,3.2,5.7,14.5,22.6,3.3,5.7,5.0,9.7,6.5,14.9,5.5,10.0,28.0,62.0,72.0,85.0,9.6,16.9,8.6,13.8,0.91,1.46
8.0,3.3,5.8,14.7,23.0,3.3,5.8,5.1,9.9,6.6,15.1,5.6,10.2,28.0,62.0,72.0,85.0,9.8,17.3,8.8,14.0,0.91,1.47
8.5,3.3,5.8,15.0,23.4,3.4,5.9,5.1,10.0,6.7,15.4,5.6,10.3,28.0,62.0,72.0,85.0,10.0,17.6,8.9,14.3,0.92,1.47
9.0,3.3,5.9,15.2,23.7,3.4,5.9,5.2,10.2,6.8,15.6,5.7,10.5,28.0,62.0,72.0,85.0,10.1,17.9,9.1,14.5,0.92,1.47
9.5,3.4,6.0,15.4,24.0,3.4,5.9,5.3,10.3,6.9,15.8,5.8,10.6,28.0,63.0,72.0,85.0,10.3,18.2,9.1,14.7,0.92,1.48
10.0,3.4,6.0,15.6,24.4,3.5,6.1,5.3,10.4,6.9,16.0,5.9,10.8,28.0,63.0,72.0,85.0,10.5,18.5,9.3,14.9,0.92,1.48
10.5,3.5,6.1,15.8,24.7,3.5,6.2,5.4,10.5,7.1,16.3,6.0,10.9,28.0,63.0,72.0,85.0,10.6,18.8,9.5,15.1,0.94,1.49
